tstamp	host	url	description_str	title	keywords_split
2023-09-20T19:02:39.175Z	www.canada.ca	https://www.canada.ca/	The Government of Canada website is a single point of access to all programs, services, departments, ministries and organizations of the Government of Canada.		
2023-09-20T19:16:03.035Z	www.canada.ca	https://www.canada.ca/content/dam/canada/employment-social-development/migration/documents/assets/portfolio/docs/en/cpp/oas/sv-oas-jul-sept-2023.pdf		OAS-Tables	
2023-09-20T19:19:52.864Z	www.canada.ca	https://www.canada.ca/content/dam/canada/employment-social-development/programs/indigenous-early-learning/1352-IELCC_Report-EN.pdf	INDIGENOUS EARLY LEARNING AND CHILD CARE FRAMEWORK	INDIGENOUS EARLY LEARNING AND CHILD CARE FRAMEWORK	['indigenous early learning and child care framework']
2023-09-20T18:49:52.537Z	www.canada.ca	https://www.canada.ca/content/dam/canada/employment-social-development/services/benefits/ei/employment-insurance-reporting/EmploymentInsurance_TimeReportingCalenda_EN_Final.pdf		2868_EI_TimeReporting_Cal_2pages_EN	
2023-09-20T19:37:04.577Z	www.canada.ca	https://www.canada.ca/content/dam/dnd-mdn/documents/military-benefits/20181203-vsc-application-form-dnd-9036-e.pdf		Veteran’s Service Card (VSC) Application	
2023-09-20T18:49:39.919Z	www.canada.ca	https://www.canada.ca/content/dam/dnd-mdn/documents/military-benefits/20190919-vsc-application-form-dnd-9036-e.pdf		20190919-vsc-application-form-dnd-9036-e	
2023-09-20T19:30:41.773Z	www.canada.ca	https://www.canada.ca/content/dam/dnd-mdn/documents/reports/2018/strong-secure-engaged/canada-defence-policy-report.pdf		Strong, Secure, Engaged. Canada's Defence Policy.	
2023-09-20T19:33:35.574Z	www.canada.ca	https://www.canada.ca/content/dam/fpcc-cpac/documents/FPCC%20Annual%20Report%202020-21.pdf			
2023-09-20T19:02:38.856Z	www.canada.ca	https://www.canada.ca/content/dam/fpcc-cpac/documents/FPCC%20STRATEGIC%20PLAN%202023-2026%20EN%20Final.pdf			
2023-09-20T19:13:08.579Z	www.canada.ca	https://www.canada.ca/content/dam/hc-sc/documents/services/publications/diseases-conditions/permethrin-treated-clothing/clothing-treated-eng.pdf			
2023-09-20T19:06:24.278Z	www.canada.ca	https://www.canada.ca/content/dam/irb-cisr/documents/RpdSpr0201_e.pdf		Basis of Claim Form	
